#SampleID	SampleType	dieasestate	Day	diet
HGR_2	control	control	control	control
HGR_3	control	control	control	control
HGR_4	control	control	control	control
HGR_5	control	control	control	control
HGR_6	control	control	control	control
HGR_7	control	control	control	control
HGR_8	control	control	control	control
HGR_9	control	control	control	control
HGR_10	control	control	control	control
HGR_11	control	control	control	control
HGR_12	control	control	control	control
HGR_13	control	control	control	control
HGR_14	control	control	control	control
HGR_15	control	control	control	control
HGR_16	control	control	control	control
HGR_17	control	control	control	control
HGR_18	control	control	control	control
HGR_19	control	control	control	control
HGR_20	control	control	control	control
HGR_21	control	control	control	control
HGR_22	control	control	control	control
HGR_23	control	control	control	control
HGR_24	control	control	control	control
HGR_26	control	control	control	control
HGR_27	control	control	control	control
HGR_28	control	control	control	control
HGR_29	control	control	control	control
HGR_30	control	control	control	control
HGR_31	control	control	control	control
HGR_32	control	control	control	control
HGR_33	control	control	control	control
HGR_34	control	control	control	control
HGR_35	control	control	control	control
HGR_36	control	control	control	control
HGR_37	control	control	control	control
HGR_38	control	control	control	control
HGR_39	control	control	control	control
HGR_40	control	control	control	control
HGR_42	control	control	control	control
HGR_43	control	control	control	control
HGR_44	control	control	control	control
HGR_45	control	control	control	control
HGR_46	control	control	control	control
HGR_47	control	control	control	control
HGR_48	control	control	control	control
HGR_50	control	control	control	control
HGR_51	control	control	control	control
HGR_52	control	control	control	control
HGR_53	control	control	control	control
HGR_55	Inulin_D0	naive	0	inulin
HGR_56	Inulin_D0	naive	0	inulin
HGR_57	Inulin_D0	naive	0	inulin
HGR_58	Guar_gum_D0	naive	0	Guar_gum
HGR_59	Guar_gum_D0	naive	0	Guar_gum
HGR_60	Guar_gum_D0	naive	0	Guar_gum
HGR_61	Guar_gum_D0	naive	0	Guar_gum
HGR_62	Resistant_starch_D0	naive	0	Resistant_starch
HGR_63	Resistant_starch_D0	naive	0	Resistant_starch
HGR_64	Resistant_starch_D0	naive	0	Resistant_starch
HGR_65	Pectin_D0	naive	0	Pectin
HGR_66	Pectin_D0	naive	0	Pectin
HGR_67	Pectin_D0	naive	0	Pectin
HGR_68	5%_cellulose_D0	naive	0	5%_cellulose
HGR_69	5%_cellulose_D0	naive	0	5%_cellulose
HGR_70	5%_cellulose_D0	naive	0	5%_cellulose
HGR_71	0%_fiber_D0	naive	0	0%_fiber
HGR_72	0%_fiber_D0	naive	0	0%_fiber
HGR_73	0%_fiber_D0	naive	0	0%_fiber
HGR_74	Inulin_D0	naive	0	Inulin
HGR_75	Inulin_D0	naive	0	Inulin
HGR_76	Inulin_D0	naive	0	Inulin
HGR_77	Inulin_D0	naive	0	Inulin
HGR_78	Inulin_D0	naive	0	Inulin
HGR_79	Guar_gum_D0	naive	0	Guar_gum
HGR_80	Guar_gum_D0	naive	0	Guar_gum
HGR_81	Guar_gum_D0	naive	0	Guar_gum
HGR_82	Guar_gum_D0	naive	0	Guar_gum
HGR_83	Guar_gum_D0	naive	0	Guar_gum
HGR_84	Resistant_starch_D0	naive	0	Resistant_starch
HGR_85	Resistant_starch_D0	naive	0	Resistant_starch
HGR_86	Resistant_starch_D0	naive	0	Resistant_starch
HGR_87	Resistant_starch_D0	naive	0	Resistant_starch
HGR_88	Resistant_starch_D0	naive	0	Resistant_starch
HGR_89	Pectin_D0	naive	0	Pectin
HGR_90	Pectin_D0	naive	0	Pectin
HGR_91	Pectin_D0	naive	0	Pectin
HGR_92	Pectin_D0	naive	0	Pectin
HGR_93	Pectin_D0	naive	0	Pectin
HGR_94	5%_cellulose_D0	naive	0	5%_cellulose
HGR_95	5%_cellulose_D0	naive	0	5%_cellulose
HGR_97	5%_cellulose_D0	naive	0	5%_cellulose
HGR_98	5%_cellulose_D0	naive	0	5%_cellulose
HGR_99	5%_cellulose_D0	naive	0	5%_cellulose
HGR_100	0%_fiber_D0	naive	0	0%_fiber
HGR_101	0%_fiber_D0	naive	0	0%_fiber
HGR_102	0%_fiber_D0	naive	0	0%_fiber
HGR_103	0%_fiber_D0	naive	0	0%_fiber
HGR_104	0%_fiber_D0	naive	0	0%_fiber
HGR_105	Inulin_D17	naive	17	Inulin
HGR_106	Inulin_D17	naive	17	Inulin
HGR_107	Inulin_D17	naive	17	Inulin
HGR_108	Guar_gum_D17	naive	17	Guar_gum
HGR_109	Guar_gum_D17	naive	17	Guar_gum
HGR_110	Guar_gum_D17	naive	17	Guar_gum
HGR_111	Guar_gum_D17	naive	17	Guar_gum
